title,address,city,state,country,price,bedrooms,bathrooms,sqft,property_type,amenities,description,virtual_tour_url
Luxury Waterfront Villa,123 Ocean Drive,Miami,FL,USA,1250000,4,3.5,2850,single_family,pool;garage;smart home;ocean view;gourmet kitchen,Contemporary waterfront home with stunning ocean views. Features open-concept living with floor-to-ceiling windows. Gourmet kitchen with premium appliances. Master suite with spa bathroom. Private pool and outdoor entertainment area. Smart home technology throughout.,https://example.com/tour/miami1
Modern Downtown Condo,456 Main Street #2401,Austin,TX,USA,550000,2,2,1450,condo,gym;concierge;rooftop pool;pet friendly;parking,Stunning high-rise condo in the heart of downtown Austin. Features modern finishes throughout with hardwood floors and quartz countertops. Building amenities include state-of-the-art fitness center and rooftop pool with city views. Walking distance to restaurants and entertainment.,https://example.com/tour/austin1
Spacious Family Home,789 Maple Avenue,Denver,CO,USA,675000,5,3,3200,single_family,large yard;basement;2-car garage;mountain views;fireplace,Perfect family home in quiet neighborhood. Spacious layout with formal living and dining rooms. Updated kitchen with granite counters and stainless appliances. Finished basement provides extra living space. Large backyard backs to open space with mountain views.,https://example.com/tour/denver1
Beachfront Paradise,234 Coastal Highway,Miami,FL,USA,2150000,5,4.5,4200,single_family,private beach access;pool;hot tub;outdoor kitchen;wine cellar,Spectacular beachfront estate with direct ocean access. Designer finishes throughout including marble floors and custom millwork. Chef's kitchen with top-of-the-line appliances. Master retreat with ocean views. Resort-style backyard with infinity pool.,https://example.com/tour/miami2
Urban Loft,567 Industrial Blvd #305,Austin,TX,USA,425000,1,1,980,condo,exposed brick;high ceilings;downtown;parking;storage,Trendy loft in converted warehouse. Features exposed brick walls and 14-foot ceilings. Open floor plan with modern kitchen. Large windows flood space with natural light. Prime downtown location near tech companies and nightlife.,https://example.com/tour/austin2
Mountain Retreat,890 Pine Ridge Road,Denver,CO,USA,850000,4,3.5,3600,single_family,mountain views;deck;fireplace;vaulted ceilings;wildlife,Stunning mountain home on 2 acres. Vaulted ceilings and floor-to-ceiling windows showcase incredible views. Gourmet kitchen with granite island. Large deck perfect for entertaining. Close to hiking and skiing.,https://example.com/tour/denver2
Luxury Penthouse,111 Brickell Avenue #4501,Miami,FL,USA,3500000,3,3.5,3800,condo,panoramic views;private elevator;concierge;valet;rooftop,Rare penthouse opportunity in prestigious Brickell tower. 360-degree views of bay and ocean. Private elevator entry. Italian marble throughout. Smart home automation. Two parking spaces and storage.,https://example.com/tour/miami3
Hill Country Estate,222 Ranch Road,Austin,TX,USA,1850000,6,5,5500,single_family,pool;guest house;tennis court;20 acres;horse facilities,Magnificent Hill Country estate on 20 acres. Main house plus guest house. Resort-style pool and spa. Lighted tennis court. Barn and paddocks for horses. Panoramic views and complete privacy.,https://example.com/tour/austin3
Cozy Craftsman,333 Oak Street,Denver,CO,USA,525000,3,2,1800,single_family,hardwood floors;front porch;updated kitchen;walk to shops;fenced yard,Charming craftsman bungalow in walkable neighborhood. Original hardwood floors and built-ins. Updated kitchen with white cabinets. Covered front porch. Fenced backyard with mature trees. Close to parks and restaurants.,https://example.com/tour/denver3
Art Deco Gem,444 Collins Avenue,Miami,FL,USA,695000,2,2,1600,condo,historic building;beach access;balcony;updated interior;parking,Beautifully updated unit in iconic Art Deco building. Maintains period charm while offering modern amenities. Open kitchen with stainless appliances. Balcony overlooks ocean. Steps to beach and South Beach nightlife.,https://example.com/tour/miami4
